Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
142.250.201.42-192.168.0.138-443-59936-6,142.250.201.42,443,192.168.0.138,59936,6,13/05/2025 12:25:50 PM,239,1,1,73.0,0.0,73.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,305439.330543933,8368.200836820084,239.0,0.0,239.0,239.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,4184.100418410042,4184.100418410042,0.0,73.0,48.66666666666667,42.14656965084268,1776.3333333333333,1,0,0,1,2,0,0,0,1.0,73.0,73.0,0.0,0,0,0,0,0,0,0,36,0,0,1042,253,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.138-142.250.201.42-59936-443-6,192.168.0.138,59936,142.250.201.42,443,6,13/05/2025 12:25:50 PM,33555,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.603635821785126,33555.0,0.0,33555.0,33555.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,29.801817910892563,29.801817910892563,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,253,1042,0,20,0,0,0,0,0,0,0,0,No Label
142.250.200.234-192.168.0.138-443-59938-6,142.250.200.234,443,192.168.0.138,59938,6,13/05/2025 12:25:56 PM,296,1,1,73.0,0.0,73.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,246621.62162162163,6756.756756756757,296.0,0.0,296.0,296.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,3378.3783783783783,3378.3783783783783,0.0,73.0,48.66666666666667,42.14656965084268,1776.3333333333333,1,0,0,1,2,0,0,0,1.0,73.0,73.0,0.0,0,0,0,0,0,0,0,36,0,0,1036,255,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.138-142.250.200.234-59938-443-6,192.168.0.138,59938,142.250.200.234,443,6,13/05/2025 12:25:56 PM,40834,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.97879218298476,40834.0,0.0,40834.0,40834.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,24.48939609149238,24.48939609149238,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,255,1036,0,20,0,0,0,0,0,0,0,0,No Label
142.250.201.14-192.168.0.138-443-59942-6,142.250.201.14,443,192.168.0.138,59942,6,13/05/2025 12:26:01 PM,213,1,1,73.0,0.0,73.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,342723.0046948357,9389.671361502347,213.0,0.0,213.0,213.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,4694.835680751174,4694.835680751174,0.0,73.0,48.66666666666667,42.14656965084268,1776.3333333333333,1,0,0,1,2,0,0,0,1.0,73.0,73.0,0.0,0,0,0,0,0,0,0,36,0,0,1035,250,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.138-142.250.201.14-59942-443-6,192.168.0.138,59942,142.250.201.14,443,6,13/05/2025 12:26:01 PM,39929,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.088907811365175,39929.0,0.0,39929.0,39929.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,25.044453905682587,25.044453905682587,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,250,1035,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.138-142.250.200.234-59957-443-6,192.168.0.138,59957,142.250.200.234,443,6,13/05/2025 12:25:45 PM,17140669,3,2,2.0,73.0,1.0,0.0,0.6666666666666667,0.5773502691896257,73.0,0.0,36.5,51.61879502661797,4.375558503579994,0.2917039002386663,4285167.25,8538130.356680334,1.7092318E7,10.0,1.7140669E7,8570334.5,1.2120269141838415E7,1.7140659E7,10.0,1.7092318E7,1.7092318E7,0.0,1.7092318E7,1.7092318E7,0,0,0,0,60,52,0.17502234014319978,0.11668156009546653,0.0,73.0,12.666666666666666,29.561235878539765,873.8666666666668,1,0,0,1,5,0,0,0,0.0,15.2,0.6666666666666666,36.5,0,0,0,0,0,0,0,0,0,14,251,1026,1,20,0,0,0,0,1.7471535544925705E15,1.2052125261335468E7,1.74715356301471E15,1.747153545970431E15,No Label
192.168.0.138-142.250.200.234-59957-443-6,192.168.0.138,59957,142.250.200.234,443,6,13/05/2025 12:26:03 PM,131683,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.187989338031485,131683.0,0.0,131683.0,131683.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7.593994669015743,7.593994669015743,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,251,1026,0,20,0,0,0,0,0,0,0,0,No Label
140.82.112.21-192.168.0.138-443-59975-6,140.82.112.21,443,192.168.0.138,59975,6,13/05/2025 12:26:06 PM,0,3,0,63.0,0.0,39.0,0.0,21.0,19.672315572906,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,60,0,0.0,0.0,0.0,39.0,25.5,18.411952639521967,339.0,1,0,0,2,3,0,0,0,0.0,34.0,21.0,0.0,0,0,0,0,0,0,1,21,0,0,170,0,1,20,0,0,0,0,0,0,0,0,No Label
192.168.0.138-140.82.112.21-59975-443-6,192.168.0.138,59975,140.82.112.21,443,6,13/05/2025 12:26:06 PM,209,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,14354.066985645932,104.5,137.88582233137677,202.0,7.0,209.0,104.5,137.88582233137677,202.0,7.0,0,0,0,0,0,0,0,0,0,60,0,14354.066985645932,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,253,0,0,20,0,0,0,0,0,0,0,0,No Label
