Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.122-192.168.0.107-58704-21-6,192.168.0.122,58704,192.168.0.107,21,6,13/05/2025 12:58:13 PM,2526047,6,6,25.0,76.0,13.0,0.0,4.166666666666667,6.462713568360172,34.0,0.0,12.666666666666668,14.678782874157744,39.98342073603539,4.750505433984403,229640.63636363638,746106.3490986085,2478967.0,0.0,2526047.0,505209.4,1125328.077068772,2518254.0,387.0,2525094.0,505018.8,1103587.0642580492,2478967.0,0.0,0,0,0,0,200,200,2.3752527169922013,2.3752527169922013,0.0,34.0,7.769230769230768,11.432073639209454,130.6923076923077,1,2,0,5,11,0,0,0,1.0,8.416666666666666,4.166666666666667,12.666666666666666,0,0,0,0,4,49968,0,2,0,6,64240,181,2,32,0,0,0,0,1.74715549413293E15,825591.0355765043,1.747155496334188E15,1.74715549384748E15,No Label
192.168.0.122-192.168.0.107-58714-21-6,192.168.0.122,58714,192.168.0.107,21,6,13/05/2025 12:58:16 PM,2926903,6,6,24.0,76.0,12.0,0.0,4.0,6.196773353931867,34.0,0.0,12.666666666666668,14.678782874157744,34.165805973071194,4.099896716768543,266082.09090909094,869725.1765227283,2888241.0,0.0,2926903.0,585380.6,1305747.669414271,2921172.0,436.0,2926155.0,585231.0,1287492.1469525553,2888241.0,0.0,0,0,0,0,200,200,2.0499483583842717,2.0499483583842717,0.0,34.0,7.6923076923076925,11.397255630082002,129.89743589743588,1,2,0,5,11,0,0,0,1.0,8.333333333333334,4.0,12.666666666666666,0,0,0,0,4,43869,0,2,0,6,64240,181,2,32,0,0,0,0,1.747155496702587E15,962084.030351181,1.747155499267956E15,1.747155496374039E15,No Label
192.168.0.107-192.168.0.122-21-58714-6,192.168.0.107,21,192.168.0.122,58714,6,13/05/2025 12:58:19 PM,0,3,0,64.0,0.0,30.0,10.0,21.333333333333332,10.263202878893768,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,96,0,0.0,0.0,10.0,30.0,18.5,10.115993936995679,102.33333333333333,1,0,0,3,3,0,0,0,0.0,24.666666666666668,21.333333333333332,0.0,0,0,0,0,0,0,1,21,0,0,181,0,2,32,0,0,0,0,0,0,0,0,No Label
192.168.0.122-192.168.0.107-53282-21-6,192.168.0.122,53282,192.168.0.107,21,6,13/05/2025 12:58:19 PM,3337828,6,6,28.0,76.0,16.0,0.0,4.666666666666666,7.339391437078873,34.0,0.0,12.666666666666668,14.678782874157744,31.157986570907788,3.595152296643206,303438.90909090906,993106.3012444795,3297615.0,0.0,3337828.0,667565.6,1489402.0738159658,3331888.0,436.0,3336684.0,667336.8,1470437.2696377428,3297615.0,0.0,0,0,0,0,200,200,1.797576148321603,1.797576148321603,0.0,34.0,8.000000000000002,11.575836902790225,134.0,1,2,0,5,11,0,0,0,1.0,8.666666666666666,4.666666666666667,12.666666666666666,0,0,0,0,4,56280,0,2,0,6,64240,181,2,32,0,0,0,0,1.7471554996755538E15,1098466.2205866165,1.747155502604621E15,1.747155499301116E15,No Label
192.168.0.107-192.168.0.122-21-53282-6,192.168.0.107,21,192.168.0.122,53282,6,13/05/2025 12:58:22 PM,220,3,2,64.0,0.0,30.0,10.0,21.333333333333332,10.263202878893768,0.0,0.0,0.0,0.0,290909.0909090909,22727.272727272728,55.0,44.81815108487483,109.0,0.0,220.0,110.0,155.56349186104046,220.0,0.0,49.0,49.0,0.0,49.0,49.0,1,0,0,0,96,40,13636.363636363636,9090.90909090909,0.0,30.0,12.333333333333334,12.355835328567093,152.66666666666669,1,0,2,3,3,0,0,0,0.0,14.8,21.333333333333332,0.0,0,0,0,0,0,0,0,12,0,0,181,0,2,32,0,0,0,0,1.747155502639757E15,42.42640687119285,1.747155502639787E15,1.747155502639727E15,No Label
192.168.0.122-192.168.0.107-53288-21-6,192.168.0.122,53288,192.168.0.107,21,6,13/05/2025 12:58:22 PM,2746380,6,6,27.0,76.0,15.0,0.0,4.5,7.035623639735144,34.0,0.0,12.666666666666668,14.678782874157744,37.50391424347687,4.369388067201188,249670.90909090906,814981.5473619577,2706742.0,0.0,2746380.0,549276.0,1225400.3031972859,2741338.0,434.0,2745616.0,549123.2,1206230.9268028655,2706742.0,0.0,0,0,0,0,200,200,2.184694033600594,2.184694033600594,0.0,34.0,7.923076923076923,11.521440437010893,132.74358974358975,1,2,0,5,11,0,0,0,1.0,8.583333333333334,4.5,12.666666666666666,0,0,0,0,4,48042,0,2,0,6,64240,181,2,32,0,0,0,0,1.74715550294727E15,901467.0256379838,1.747155505350967E15,1.74715550263922E15,No Label
192.168.0.107-192.168.0.122-21-53288-6,192.168.0.107,21,192.168.0.122,53288,6,13/05/2025 12:58:25 PM,225,3,2,64.0,0.0,30.0,10.0,21.333333333333332,10.263202878893768,0.0,0.0,0.0,0.0,284444.44444444444,22222.222222222223,56.25,48.568679894214405,118.0,0.0,225.0,112.5,159.0990257669732,225.0,0.0,47.0,47.0,0.0,47.0,47.0,1,0,0,0,96,40,13333.333333333334,8888.888888888889,0.0,30.0,12.333333333333334,12.355835328567093,152.66666666666669,1,0,2,3,3,0,0,0,0.0,14.8,21.333333333333332,0.0,0,0,0,0,0,0,0,12,0,0,181,0,2,32,0,0,0,0,1.7471555053860765E15,50.204581464244875,1.747155505386112E15,1.747155505386041E15,No Label
192.168.0.122-192.168.0.107-53290-21-6,192.168.0.122,53290,192.168.0.107,21,6,13/05/2025 12:58:25 PM,2497345,6,6,27.0,76.0,15.0,0.0,4.5,7.035623639735144,34.0,0.0,12.666666666666668,14.678782874157744,41.2438009165734,4.8051030194066096,227031.36363636365,740002.5470617345,2458000.0,0.0,2497345.0,499469.0,1114785.1628464113,2493657.0,356.0,2496652.0,499330.4,1095030.121452054,2458000.0,0.0,0,0,0,0,200,200,2.4025515097033048,2.4025515097033048,0.0,34.0,7.923076923076923,11.521440437010893,132.74358974358975,1,2,0,5,11,0,0,0,1.0,8.583333333333334,4.5,12.666666666666666,0,0,0,0,4,57203,0,2,0,6,64240,181,2,32,0,0,0,0,1.747155505665248E15,818386.6757673166,1.74715550784737E15,1.747155505385726E15,No Label
192.168.0.107-192.168.0.122-21-53290-6,192.168.0.107,21,192.168.0.122,53290,6,13/05/2025 12:58:27 PM,273,3,1,64.0,0.0,30.0,10.0,21.333333333333332,10.263202878893768,0.0,0.0,0.0,0.0,234432.2344322344,14652.01465201465,91.0,98.7471518576612,196.0,0.0,273.0,136.5,193.04015126392747,273.0,0.0,0,0,0,0,0,1,0,0,0,96,20,10989.010989010989,3663.0036630036625,0.0,30.0,14.8,12.049896265113656,145.20000000000002,1,0,1,3,3,0,0,0,0.0,18.5,21.333333333333332,0.0,0,0,0,0,0,0,0,16,0,0,181,0,2,32,0,0,0,0,1.74715550788375E15,0.0,1.74715550788375E15,1.74715550788375E15,No Label
192.168.0.122-192.168.0.107-53304-21-6,192.168.0.122,53304,192.168.0.107,21,6,13/05/2025 12:58:27 PM,3246444,6,6,27.0,76.0,15.0,0.0,4.5,7.035623639735144,34.0,0.0,12.666666666666668,14.678782874157744,31.727021935385302,3.696352070141977,295131.27272727276,965946.6588786454,3207424.0,0.0,3246444.0,649288.8,1448643.2671937216,3240700.0,561.0,3245496.0,649099.2,1430211.8929164656,3207424.0,0.0,0,0,0,0,200,200,1.8481760350709886,1.8481760350709886,0.0,34.0,7.923076923076923,11.521440437010893,132.74358974358975,1,2,0,5,11,0,0,0,1.0,8.583333333333334,4.5,12.666666666666666,0,0,0,0,4,38718,0,2,0,6,64240,181,2,32,0,0,0,0,1.7471555082471715E15,1068513.351759141,1.74715551109637E15,1.747155507883292E15,No Label
192.168.0.122-192.168.0.107-46936-21-6,192.168.0.122,46936,192.168.0.107,21,6,13/05/2025 12:58:31 PM,2656864,6,6,26.0,76.0,14.0,0.0,4.333333333333334,6.742897497861485,34.0,0.0,12.666666666666668,14.678782874157744,38.39112577836126,4.516603032748383,241533.0909090909,788232.3018310599,2617958.0,1.0,2656864.0,531372.8,1185315.6417786784,2651729.0,419.0,2656156.0,531231.2,1166598.0989761213,2617958.0,1.0,0,0,0,0,200,200,2.2583015163741913,2.2583015163741913,0.0,34.0,7.846153846153846,11.47349230361121,131.64102564102564,1,2,0,5,11,0,0,0,1.0,8.5,4.333333333333333,12.666666666666666,0,0,0,0,4,47619,0,2,0,6,64240,181,2,32,0,0,0,0,1.747155511428091E15,871930.8968130896,1.74715551375303E15,1.747155511130145E15,No Label
