Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.23-35.244.181.201-48442-443-6,192.168.100.23,48442,35.244.181.201,443,6,15/06/2025 05:16:59 PM,252388,10,6,437.0,3782.0,197.0,0.0,43.7,68.9428910201931,2800.0,0.0,630.3333333333334,1088.1144547641425,16716.325657321267,63.39445615480926,16825.866666666665,26010.9646327046,90079.0,1.0,252388.0,28043.111111111113,34934.04745890621,90079.0,151.0,76370.0,15274.0,19943.27470602559,39039.0,1.0,0,0,0,0,328,200,39.621535096755785,23.772921058053473,0.0,2800.0,248.17647058823536,676.3276050936888,457419.02941176464,1,2,0,8,15,0,0,0,0.0,263.6875,43.7,630.3333333333334,0,0,0,0,8,19562,0,27,0,236,64240,1050,4,32,0,0,0,0,1.7500222193760902E15,55951.893547000094,1.750022219490329E15,1.75002221928783E15,No Label
35.244.181.201-192.168.100.23-443-48442-6,35.244.181.201,443,192.168.100.23,48442,6,15/06/2025 05:16:59 PM,17091,3,1,38.0,0.0,38.0,0.0,12.666666666666668,21.939310229205777,0.0,0.0,0.0,0.0,2223.392428763677,234.04130829091338,5697.0,9842.389394857328,17062.0,0.0,17091.0,8545.5,12085.161997259283,17091.0,0.0,0,0,0,0,0,1,0,0,0,96,20,175.53098121818502,58.510327072728344,0.0,38.0,15.2,20.813457185196313,433.2,1,0,1,1,3,0,0,0,0.0,19.0,12.666666666666666,0.0,0,0,0,0,0,0,0,9,0,0,1050,0,0,32,0,0,0,0,1.750022219582374E15,0.0,1.750022219582374E15,1.750022219582374E15,No Label
192.168.100.23-34.225.103.142-51018-443-6,192.168.100.23,51018,34.225.103.142,443,6,15/06/2025 05:17:06 PM,607064,7,9,2014.0,4957.0,1470.0,0.0,287.71428571428567,555.1968762777501,4383.0,0.0,550.7777777777778,1443.4572021519878,11483.13851587312,26.356364403094236,40470.933333333334,59086.72693769323,140569.0,1.0,453959.0,75659.83333333333,81312.61593483921,172936.0,1539.0,466495.0,58311.874999999985,63236.10521447719,134592.0,1.0,0,0,0,0,232,296,11.530909426353729,14.825454976740508,0.0,4383.0,410.0588235294118,1088.839776470133,1185572.0588235292,1,2,0,6,15,0,0,0,1.0,435.6875,287.7142857142857,550.7777777777778,0,0,0,0,6,14995,0,125,0,309,64240,179,3,32,0,0,0,0,1.7500222270965762E15,162646.02085288818,1.750022227358618E15,1.750022226775864E15,No Label
192.168.100.23-34.225.103.142-51018-443-6,192.168.100.23,51018,34.225.103.142,443,6,15/06/2025 05:17:07 PM,7736,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,3102.3784901758017,387.7973112719752,3868.0,318.1980515339464,4093.0,3643.0,7736.0,3868.0,318.1980515339464,4093.0,3643.0,0,0,0,0,0,0,0,0,0,96,0,387.7973112719752,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,615,0,1,32,0,0,0,0,0,0,0,0,No Label
192.168.100.23-184.24.0.227-55194-80-6,192.168.100.23,55194,184.24.0.227,80,6,15/06/2025 05:16:59 PM,98404,4,3,431.0,874.0,431.0,0.0,107.75,215.5,874.0,0.0,291.3333333333333,504.6041352717329,13261.656030242671,71.13531970245111,16400.666666666664,25192.372557317158,50856.0,1.0,98404.0,32801.333333333336,28015.693482998653,50910.0,532.0,47497.0,23748.5,33584.03657245507,47496.0,1.0,0,0,0,0,136,104,40.64875411568635,30.486565586764765,0.0,874.0,163.125,324.4245179654936,105251.26785714286,0,2,0,2,6,0,0,0,0.0,186.42857142857142,107.75,291.3333333333333,0,0,0,0,0,0,0,61,0,124,64240,506,1,32,0,0,0,0,1.7500222194926445E15,40761.18062936843,1.750022219531226E15,1.750022219432877E15,No Label
192.168.100.23-35.190.72.216-60594-443-17,192.168.100.23,60594,35.190.72.216,443,17,15/06/2025 05:16:59 PM,5235612,6,0,8142.0,0.0,1357.0,1357.0,1357.0,0.0,0,0,0,0,1555.119057714743,1.1459978317721025,1047122.4,852820.0047209845,2417342.0,299294.0,5235612.0,1047122.4,852820.0047209845,2417342.0,299294.0,0,0,0,0,0,0,0,0,0,48,0,1.1459978317721025,0.0,1357.0,1357.0,1357.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1583.1666666666667,1357.0,0.0,0,0,0,0,4,3618,1,1357,0,0,0,0,5,8,0,0,0,0,1.750022221077791E15,1512224.6120611888,1.750022223086548E15,1.750022219769014E15,No Label
192.168.100.23-35.244.181.201-48442-443-6,192.168.100.23,48442,35.244.181.201,443,6,15/06/2025 05:16:59 PM,57,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,35087.71929824561,57.0,0.0,57.0,57.0,57.0,57.0,0.0,57.0,57.0,0,0,0,0,0,0,0,0,0,40,0,35087.71929824561,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.100.23-151.101.65.91-51938-443-6,192.168.100.23,51938,151.101.65.91,443,6,15/06/2025 05:16:59 PM,256866,10,11,806.0,4579.0,368.0,0.0,80.6,121.84616895450135,2752.0,0.0,416.27272727272725,859.8365066579914,20964.23816308893,81.75468921538858,12843.3,21389.64029888744,66686.0,0.0,256866.0,28540.666666666668,26438.831886072425,66732.0,177.0,208129.0,20812.899999999998,26912.367237428636,69455.0,0.0,0,0,0,0,328,360,38.93080438828027,42.8238848271083,0.0,2752.0,244.77272727272728,624.1101041306109,389513.42207792203,0,2,0,10,20,0,0,0,1.0,256.42857142857144,80.6,416.27272727272725,0,0,0,0,10,32435,0,38,0,218,64240,274,5,32,0,0,0,0,1.750022219150461E15,66432.15840455549,1.750022219254478E15,1.75002221900614E15,No Label
192.168.100.23-34.49.51.44-39076-443-6,192.168.100.23,39076,34.49.51.44,443,6,15/06/2025 05:16:58 PM,176827,10,8,1152.0,4124.0,672.0,0.0,115.2,210.40479504464193,2800.0,0.0,515.5,951.115134986296,29837.07239279069,101.79440922483556,10401.588235294117,16935.26068244457,42744.0,1.0,140291.0,15587.888888888889,21442.524999661564,49139.0,126.0,139385.0,19912.14285714286,23034.612560438774,50489.0,1.0,0,0,0,0,328,264,56.552449569353094,45.241959655482475,0.0,2800.0,277.6842105263158,646.5438932106259,418019.00584795326,0,2,0,11,17,0,0,0,0.0,293.1111111111111,115.2,515.5,0,0,0,0,11,51668,0,64,0,229,64240,1048,6,32,0,0,0,0,1.7500222190800892E15,44332.99531396133,1.75002221916153E15,1.750022218985213E15,No Label
192.168.100.23-35.244.181.201-48436-443-6,192.168.100.23,48436,35.244.181.201,443,6,15/06/2025 05:16:59 PM,453873,17,15,969.0,5171.0,311.0,0.0,56.99999999999999,92.3755920143411,2800.0,0.0,344.73333333333335,715.3573000023601,13528.013342939545,70.50430406743736,14641.064516129034,28014.493920035373,123481.0,0.0,422556.0,26409.75,41181.651340534336,140673.0,74.0,417495.0,29821.07142857143,50198.718245150885,159967.0,0.0,0,0,0,0,552,488,37.4554115358261,33.048892531611266,0.0,2800.0,186.0606060606061,499.8835451503892,249883.5587121212,0,2,0,17,31,0,0,0,0.0,191.875,57.0,344.73333333333335,0,0,0,0,17,15960,0,30,0,161,64240,1050,7,32,0,0,0,0,1.750022219530583E15,152346.43740384927,1.750022219740443E15,1.750022219287621E15,No Label
